Match_ID,Match_Date,Year,Format,Tournament,Team,Opponent,Venue,Host_Country,Home_Away,Batting_Innings,Batting_Position,Runs,Balls,Fours,Sixes,Dismissal_Mode,Strike_Rate,Overs,Maidens,Runs_Conceded,Wickets,Economy,Catches,Result,Player_of_Match,Match_Impact_Score
M-2015-ODI-081,2015-04-26,2015,ODI,International Series 2015,India,Ireland,"Wankhede Stadium, Mumbai",India,Home,1,6,9,7,1,1,lbw,128.57,8.1,0,39,1,4.81,0,Won,No,42.8
M-2015-ODI-061,2015-05-01,2015,ODI,International Series 2015,India,Pakistan,"PCA Stadium, Mohali",India,Home,1,6,26,23,2,1,bowled,113.04,9.3,0,40,0,4.3,0,Won,No,35.5
M-2015-IPL-138,2015-05-13,2015,IPL,Indian Premier League 2015,Mumbai Indians,Royal Challengers Bengaluru,"HPCA Stadium, Dharamsala",India,Away,1,6,24,19,0,1,not out,126.32,3.5,0,19,0,5.43,1,Lost,No,40.9
M-2015-T20I-077,2015-05-15,2015,T20I,International Series 2015,India,Ireland,"PCA Stadium, Mohali",India,Away,1,6,12,8,2,1,lbw,150,3.3,0,19,1,5.76,1,Lost,No,54.5
M-2015-ODI-058,2015-06-03,2015,ODI,International Series 2015,India,Afghanistan,"Arun Jaitley Stadium, Delhi",India,Away,1,6,20,14,1,1,lbw,142.86,4.2,0,33,0,7.86,0,Won,No,26.4
M-2015-IPL-054,2015-07-02,2015,IPL,Indian Premier League 2015,Mumbai Indians,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",India,Home,1,6,16,13,0,1,bowled,123.08,2.1,0,23,0,10.95,1,Won,No,27.5
M-2015-IPL-023,2015-09-02,2015,IPL,Indian Premier League 2015,Mumbai Indians,Punjab Kings,"Arun Jaitley Stadium, Delhi",India,Away,1,6,14,9,3,2,not out,155.56,2.2,0,22,0,10,0,Won,No,22.3
M-2015-T20I-107,2015-09-02,2015,T20I,International Series 2015,India,South Africa,"Rajiv Gandhi Stadium, Hyderabad",India,Home,1,6,13,9,1,0,caught,144.44,3.4,0,17,1,5,0,Won,No,46.7
M-2015-T20I-023,2015-09-09,2015,T20I,International Series 2015,India,Sri Lanka,"Narendra Modi Stadium, Ahmedabad",India,Home,1,6,18,14,0,2,caught,128.57,2.2,0,23,0,10.45,0,Won,No,22.3
M-2015-IPL-065,2015-09-09,2015,IPL,Indian Premier League 2015,Mumbai Indians,Delhi Capitals,"Eden Gardens, Kolkata",India,Home,1,6,17,12,0,2,caught,141.67,3.1,0,16,0,5.16,0,Lost,No,28.3
M-2015-ODI-073,2015-09-24,2015,ODI,International Series 2015,India,Ireland,"Rajiv Gandhi Stadium, Hyderabad",India,Home,1,6,15,13,1,0,lbw,115.38,8,0,35,1,4.38,0,Won,No,46.8
M-2015-ODI-055,2015-10-04,2015,ODI,International Series 2015,India,West Indies,"PCA Stadium, Mohali",India,Home,1,6,12,10,1,1,caught,120,5.2,0,39,1,7.5,0,Lost,No,37
M-2015-IPL-116,2015-10-07,2015,IPL,Indian Premier League 2015,Mumbai Indians,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,22,20,4,0,caught,110,2.1,0,25,1,11.9,1,Lost,No,53.5
M-2015-T20I-098,2015-10-15,2015,T20I,International Series 2015,India,New Zealand,"Arun Jaitley Stadium, Delhi",India,Away,1,6,14,12,0,2,lbw,116.67,3.1,0,22,1,7.1,1,Won,No,46.5
M-2015-IPL-031,2015-10-18,2015,IPL,Indian Premier League 2015,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai",India,Away,1,6,17,13,1,1,not out,130.77,2.3,0,23,0,10,1,Won,No,29.6
M-2015-ODI-033,2015-11-06,2015,ODI,International Series 2015,India,West Indies,"Arun Jaitley Stadium, Delhi",India,Away,1,6,20,14,1,1,lbw,142.86,4.5,0,38,3,8.44,1,Won,No,100.4
M-2015-IPL-143,2015-11-17,2015,IPL,Indian Premier League 2015,Mumbai Indians,Lucknow Super Giants,"Eden Gardens, Kolkata",India,Away,1,6,18,13,1,2,not out,138.46,2.3,0,18,0,7.83,1,Won,No,31.8
M-2015-IPL-111,2015-12-12,2015,IPL,Indian Premier League 2015,Mumbai Indians,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",India,Away,1,6,21,18,1,1,bowled,116.67,3.3,0,18,1,5.45,0,Won,No,50.5
M-2016-T20I-058,2016-01-05,2016,T20I,International Series 2016,India,Zimbabwe,"PCA Stadium, Mohali",India,Away,1,6,12,11,0,2,lbw,109.09,2.5,0,22,0,8.8,0,Lost,No,13.4
M-2016-ODI-082,2016-01-09,2016,ODI,International Series 2016,India,Zimbabwe,"PCA Stadium, Mohali",India,Away,1,6,28,19,0,0,lbw,147.37,8.2,0,28,1,3.41,2,Won,No,83.1
M-2016-IPL-053,2016-02-14,2016,IPL,Indian Premier League 2016,Mumbai Indians,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",India,Away,1,6,22,15,3,3,lbw,146.67,2.3,0,18,1,7.83,0,Lost,No,51
M-2016-T20I-120,2016-02-15,2016,T20I,International Series 2016,India,England,"Wankhede Stadium, Mumbai",India,Home,1,6,12,10,2,1,caught,120,2.1,0,28,0,13.33,1,Won,No,23
M-2016-T20I-117,2016-03-02,2016,T20I,International Series 2016,India,West Indies,"HPCA Stadium, Dharamsala",India,Away,1,6,16,14,1,0,caught,114.29,2.2,0,24,0,10.91,1,Won,No,26.1
M-2016-IPL-103,2016-03-08,2016,IPL,Indian Premier League 2016,Mumbai Indians,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",India,Home,1,6,21,17,1,0,not out,123.53,2.4,0,20,0,8.33,0,Won,No,24.5
M-2016-T20I-052,2016-04-19,2016,T20I,International Series 2016,India,Sri Lanka,"Arun Jaitley Stadium, Delhi",India,Home,1,6,14,11,1,1,not out,127.27,2.4,0,28,3,11.67,1,Won,No,92.1
M-2016-IPL-043,2016-04-26,2016,IPL,Indian Premier League 2016,Mumbai Indians,Royal Challengers Bengaluru,"PCA Stadium, Mohali",India,Home,1,6,17,12,0,1,lbw,141.67,3.3,0,24,1,7.27,0,Won,No,45.3
M-2016-ODI-053,2016-05-07,2016,ODI,International Series 2016,India,Afghanistan,"Narendra Modi Stadium, Ahmedabad",India,Away,1,6,24,20,1,0,bowled,120,5.2,0,35,1,6.73,0,Won,No,51.5
M-2016-IPL-070,2016-06-12,2016,IPL,Indian Premier League 2016,Mumbai Indians,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",India,Home,1,6,12,9,1,1,not out,133.33,3.4,0,14,0,4.12,0,Won,No,24.5
M-2016-IPL-118,2016-07-03,2016,IPL,Indian Premier League 2016,Mumbai Indians,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,16,12,1,1,bowled,133.33,2.5,0,24,1,9.6,0,Won,No,43
M-2016-ODI-098,2016-07-08,2016,ODI,International Series 2016,India,Zimbabwe,"Eden Gardens, Kolkata",India,Away,1,6,19,15,2,0,bowled,126.67,7.3,0,41,1,5.62,1,Lost,No,58
M-2016-IPL-137,2016-08-13,2016,IPL,Indian Premier League 2016,Mumbai Indians,Punjab Kings,"HPCA Stadium, Dharamsala",India,Away,1,6,16,13,1,0,lbw,123.08,2.4,0,12,2,5,1,Won,No,76.5
M-2016-T20I-105,2016-09-04,2016,T20I,International Series 2016,India,England,"Rajiv Gandhi Stadium, Hyderabad",India,Home,1,6,21,19,1,2,not out,110.53,2.1,0,22,0,10.48,0,Won,No,22.6
M-2016-T20I-073,2016-09-05,2016,T20I,International Series 2016,India,Sri Lanka,"Eden Gardens, Kolkata",India,Home,1,6,15,13,0,0,lbw,115.38,3,0,22,1,7.33,0,Won,No,39.3
M-2016-ODI-085,2016-09-18,2016,ODI,International Series 2016,India,South Africa,"MA Chidambaram Stadium, Chennai",India,Home,1,6,23,20,2,1,bowled,115,8.3,0,30,2,3.61,1,Lost,No,87.2
M-2016-T20I-053,2016-09-20,2016,T20I,International Series 2016,India,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,15,11,0,2,bowled,136.36,2.4,0,34,0,14.17,0,Lost,No,20.5
M-2016-T20I-094,2016-09-21,2016,T20I,International Series 2016,India,New Zealand,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,16,11,1,1,bowled,145.45,3.1,0,27,0,8.71,0,Lost,No,22.8
M-2016-ODI-031,2016-10-15,2016,ODI,International Series 2016,India,New Zealand,"Wankhede Stadium, Mumbai",India,Away,1,6,16,13,0,0,bowled,123.08,9.5,0,35,2,3.68,0,Won,No,73.5
M-2016-ODI-066,2016-10-15,2016,ODI,International Series 2016,India,Australia,"HPCA Stadium, Dharamsala",India,Away,1,6,19,14,2,0,lbw,135.71,6.2,0,42,0,6.77,0,Won,No,26.9
M-2016-ODI-039,2016-10-18,2016,ODI,International Series 2016,India,New Zealand,"Eden Gardens, Kolkata",India,Away,1,6,20,14,3,1,caught,142.86,4,0,41,0,10.25,1,Won,No,34.4
M-2016-ODI-100,2016-10-18,2016,ODI,International Series 2016,India,Pakistan,"M Chinnaswamy Stadium, Bengaluru",India,Home,1,6,21,15,3,1,caught,140,5.4,0,44,2,8.15,0,Won,No,71
M-2016-T20I-069,2016-10-27,2016,T20I,International Series 2016,India,Australia,"MA Chidambaram Stadium, Chennai",India,Home,1,6,18,14,0,1,bowled,128.57,2.4,0,20,0,8.33,1,Lost,No,30.3
M-2016-T20I-089,2016-11-15,2016,T20I,International Series 2016,India,Zimbabwe,"Narendra Modi Stadium, Ahmedabad",India,Home,1,6,17,15,0,0,bowled,113.33,2,0,25,1,12.5,0,Lost,No,41
M-2016-T20I-020,2016-11-24,2016,T20I,International Series 2016,India,West Indies,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,12,11,1,1,caught,109.09,3.3,0,24,0,7.27,1,Won,No,21.4
M-2016-IPL-100,2016-11-25,2016,IPL,Indian Premier League 2016,Mumbai Indians,Royal Challengers Bengaluru,"HPCA Stadium, Dharamsala",India,Away,1,6,16,14,2,2,bowled,114.29,2.4,0,25,0,10.42,0,Won,No,18.1
M-2016-ODI-080,2016-12-08,2016,ODI,International Series 2016,India,Ireland,"MA Chidambaram Stadium, Chennai",India,Home,1,6,27,22,1,0,bowled,122.73,5.5,0,36,2,6.55,0,Won,No,76.9
M-2016-ODI-040,2016-12-24,2016,ODI,International Series 2016,India,New Zealand,"Rajiv Gandhi Stadium, Hyderabad",India,Home,1,6,13,10,2,1,lbw,130,6.4,1,33,0,5.16,0,Won,No,22.5
M-2016-IPL-152,2016-12-27,2016,IPL,Indian Premier League 2016,Mumbai Indians,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,13,10,2,0,bowled,130,2.2,0,16,1,7.27,0,Won,No,39.5
M-2017-T20I-060,2017-01-02,2017,T20I,International Series 2017,India,Afghanistan,"Rajiv Gandhi Stadium, Hyderabad",India,Away,1,6,15,11,2,1,caught,136.36,2.1,0,24,0,11.43,2,Won,No,36.5
M-2017-ODI-102,2017-02-07,2017,ODI,International Series 2017,India,Australia,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,15,13,1,2,not out,115.38,8.2,0,33,1,4.02,0,Won,No,46.8
M-2017-ODI-077,2017-02-10,2017,ODI,International Series 2017,India,New Zealand,"PCA Stadium, Mohali",India,Home,1,6,20,16,1,0,caught,125,5.3,0,31,1,5.85,1,Lost,No,58.8
M-2017-T20I-082,2017-02-17,2017,T20I,International Series 2017,India,Ireland,"Arun Jaitley Stadium, Delhi",India,Away,1,6,20,16,2,1,not out,125,2.1,0,22,0,10.48,1,Lost,No,31.8
M-2017-ODI-059,2017-02-17,2017,ODI,International Series 2017,India,South Africa,"M Chinnaswamy Stadium, Bengaluru",India,Home,1,6,19,13,1,1,lbw,146.15,4.4,0,39,0,8.86,2,Won,No,41.9
M-2017-T20I-035,2017-02-23,2017,T20I,International Series 2017,India,Australia,"PCA Stadium, Mohali",India,Home,1,6,11,8,0,0,bowled,137.5,2.1,0,23,1,10.95,0,Won,No,38.6
M-2017-T20I-067,2017-02-26,2017,T20I,International Series 2017,India,West Indies,"M Chinnaswamy Stadium, Bengaluru",India,Home,1,6,20,14,2,0,caught,142.86,3,0,19,1,6.33,1,Lost,No,58.9
M-2017-TEST-022,2017-02-27,2017,Test,International Series 2017,India,New Zealand,"MA Chidambaram Stadium, Chennai",India,Away,1,7,39,30,3,0,bowled,130,7,1,59,1,8.43,0,Won,No,65.5
M-2017-T20I-046,2017-03-01,2017,T20I,International Series 2017,India,New Zealand,"Rajiv Gandhi Stadium, Hyderabad",India,Away,1,6,18,13,1,0,lbw,138.46,3.2,0,27,1,8.44,0,Won,No,45.8
M-2017-T20I-031,2017-03-03,2017,T20I,International Series 2017,India,Ireland,"MA Chidambaram Stadium, Chennai",India,Home,1,6,21,16,1,0,not out,131.25,2.1,0,25,1,11.9,1,Lost,No,55.7
M-2017-T20I-074,2017-03-06,2017,T20I,International Series 2017,India,Ireland,"Eden Gardens, Kolkata",India,Away,1,6,12,10,1,1,caught,120,2,0,12,0,6,0,Lost,No,20
M-2017-ODI-022,2017-03-09,2017,ODI,International Series 2017,India,Zimbabwe,"Rajiv Gandhi Stadium, Hyderabad",India,Home,1,6,21,18,1,2,bowled,116.67,5.5,1,38,2,6.91,0,Lost,No,70
M-2017-IPL-084,2017-03-13,2017,IPL,Indian Premier League 2017,Mumbai Indians,Rajasthan Royals,"PCA Stadium, Mohali",India,Away,1,6,20,14,3,1,not out,142.86,2.5,0,20,0,8,0,Lost,No,26.4
M-2017-IPL-109,2017-03-13,2017,IPL,Indian Premier League 2017,Mumbai Indians,Lucknow Super Giants,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,21,17,3,0,lbw,123.53,3,0,25,0,8.33,1,Won,No,32.5
M-2017-T20I-080,2017-03-22,2017,T20I,International Series 2017,India,England,"Wankhede Stadium, Mumbai",India,Away,1,6,12,10,0,2,lbw,120,2.3,0,14,0,6.09,1,Won,No,25.5
M-2017-ODI-026,2017-03-22,2017,ODI,International Series 2017,India,New Zealand,"HPCA Stadium, Dharamsala",India,Away,1,6,21,17,3,1,caught,123.53,5.4,0,36,1,6.67,1,Lost,No,57
M-2017-TEST-027,2017-04-18,2017,Test,International Series 2017,India,New Zealand,"Arun Jaitley Stadium, Delhi",India,Away,1,7,52,35,10,1,bowled,148.57,14,0,52,3,3.71,1,Lost,No,143.3
M-2017-IPL-064,2017-05-15,2017,IPL,Indian Premier League 2017,Mumbai Indians,Punjab Kings,"PCA Stadium, Mohali",India,Home,1,6,19,17,0,1,caught,111.76,2.3,0,16,0,6.96,0,Won,No,23.3
M-2017-T20I-068,2017-05-20,2017,T20I,International Series 2017,India,Australia,"PCA Stadium, Mohali",India,Home,1,6,11,10,0,0,bowled,110,3.2,0,33,1,10.31,1,Lost,No,42.5
M-2017-IPL-063,2017-05-26,2017,IPL,Indian Premier League 2017,Mumbai Indians,Delhi Capitals,"MA Chidambaram Stadium, Chennai",India,Away,1,6,18,15,0,0,bowled,120,2,0,19,0,9.5,0,Lost,No,21
M-2017-TEST-020,2017-06-03,2017,Test,International Series 2017,India,Ireland,"Arun Jaitley Stadium, Delhi",India,Away,1,7,37,29,9,1,caught,127.59,16.1,0,46,0,2.86,0,Won,No,53.6
M-ODI-001,2017-06-18,2017,ODI,ICC Champions Trophy Final,India,Pakistan,"The Oval, London",England,Neutral,1,7,76,43,3,6,run out,176.74,10,0,53,1,5.3,0,Lost,No,118.5
M-2017-TEST-023,2017-07-06,2017,Test,International Series 2017,India,Afghanistan,"Wankhede Stadium, Mumbai",India,Home,1,7,48,37,7,0,not out,129.73,14.4,0,61,2,4.24,0,Won,No,104
M-2017-ODI-047,2017-07-22,2017,ODI,International Series 2017,India,South Africa,"HPCA Stadium, Dharamsala",India,Home,1,6,15,13,0,0,bowled,115.38,4.2,0,39,1,9.29,1,Lost,No,47.3
M-2017-T20I-096,2017-08-01,2017,T20I,International Series 2017,India,England,"Narendra Modi Stadium, Ahmedabad",India,Home,1,6,13,11,1,0,caught,118.18,2.4,0,27,1,11.25,0,Lost,No,37.7
M-2017-ODI-046,2017-08-08,2017,ODI,International Series 2017,India,West Indies,"Wankhede Stadium, Mumbai",India,Away,1,6,20,15,2,2,bowled,133.33,5.4,0,39,1,7.22,1,Lost,No,55
M-2017-IPL-034,2017-08-10,2017,IPL,Indian Premier League 2017,Mumbai Indians,Lucknow Super Giants,"Wankhede Stadium, Mumbai",India,Away,1,6,23,17,4,1,not out,135.29,2.4,0,19,0,7.92,0,Won,No,28.3
M-TEST-001,2017-08-13,2017,Test,India tour of Sri Lanka,India,Sri Lanka,"Pallekele International Stadium, Kandy",Sri Lanka,Away,1,8,108,96,8,7,caught,112.5,1,0,7,0,7,1,Won,Yes,126.5
M-2017-T20I-034,2017-08-16,2017,T20I,International Series 2017,India,England,"Arun Jaitley Stadium, Delhi",India,Home,1,6,18,13,1,1,lbw,138.46,2.5,0,26,1,10.4,0,Lost,No,45.8
M-2017-T20I-097,2017-08-27,2017,T20I,International Series 2017,India,New Zealand,"Arun Jaitley Stadium, Delhi",India,Away,1,6,18,12,0,1,caught,150,3.5,0,17,1,4.86,2,Won,No,71
M-2017-IPL-060,2017-09-20,2017,IPL,Indian Premier League 2017,Mumbai Indians,Lucknow Super Giants,"PCA Stadium, Mohali",India,Home,1,6,20,16,2,0,bowled,125,3,0,22,1,7.33,0,Lost,No,45.8
M-2017-IPL-027,2017-09-20,2017,IPL,Indian Premier League 2017,Mumbai Indians,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",India,Away,1,6,20,14,0,0,caught,142.86,3.4,0,14,0,4.12,0,Won,No,33.9
M-2017-T20I-072,2017-10-09,2017,T20I,International Series 2017,India,West Indies,"Arun Jaitley Stadium, Delhi",India,Home,1,6,22,17,1,0,lbw,129.41,3.2,0,22,0,6.88,0,Lost,No,28.9
M-2017-IPL-123,2017-10-12,2017,IPL,Indian Premier League 2017,Mumbai Indians,Delhi Capitals,"PCA Stadium, Mohali",India,Home,1,6,11,10,2,0,bowled,110,2.1,0,14,1,6.67,0,Won,No,37
M-2017-T20I-022,2017-10-22,2017,T20I,International Series 2017,India,Australia,"MA Chidambaram Stadium, Chennai",India,Home,1,6,13,9,0,1,lbw,144.44,3.1,0,25,0,8.06,1,Lost,No,27.7
M-2017-ODI-087,2017-11-04,2017,ODI,International Series 2017,India,England,"PCA Stadium, Mohali",India,Home,1,6,17,15,0,2,caught,113.33,8,0,41,0,5.12,1,Lost,No,32
M-2017-T20I-042,2017-11-12,2017,T20I,International Series 2017,India,Australia,"MA Chidambaram Stadium, Chennai",India,Home,1,6,15,11,0,2,lbw,136.36,3.1,0,25,1,8.06,0,Won,No,42.5
M-2017-T20I-088,2017-11-19,2017,T20I,International Series 2017,India,Sri Lanka,"HPCA Stadium, Dharamsala",India,Away,1,6,16,11,1,2,lbw,145.45,2,0,22,0,11,0,Won,No,22.8
M-2017-T20I-099,2017-11-20,2017,T20I,International Series 2017,India,England,"Arun Jaitley Stadium, Delhi",India,Away,1,6,12,8,1,0,lbw,150,3.3,0,27,1,8.18,1,Won,No,49.5
M-2017-ODI-023,2017-11-24,2017,ODI,International Series 2017,India,Zimbabwe,"Wankhede Stadium, Mumbai",India,Home,1,6,19,13,0,0,not out,146.15,7.5,0,25,0,3.33,1,Lost,No,43.9
M-2018-ODI-051,2018-01-17,2018,ODI,International Series 2018,India,Zimbabwe,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,20,15,3,1,bowled,133.33,7.4,0,31,1,4.19,0,Won,No,54.5
M-2018-IPL-062,2018-01-22,2018,IPL,Indian Premier League 2018,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",India,Home,1,6,15,11,1,1,caught,136.36,2.5,0,16,1,6.4,1,Lost,No,53
M-2018-ODI-068,2018-01-27,2018,ODI,International Series 2018,India,West Indies,"Eden Gardens, Kolkata",India,Away,1,6,16,13,0,0,lbw,123.08,7.1,1,45,1,6.34,0,Lost,No,44
M-2018-ODI-079,2018-02-05,2018,ODI,International Series 2018,India,Ireland,"Rajiv Gandhi Stadium, Hyderabad",India,Home,1,6,23,18,0,1,caught,127.78,9.3,0,37,0,3.98,2,Won,No,53.2
M-2018-IPL-036,2018-02-17,2018,IPL,Indian Premier League 2018,Mumbai Indians,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",India,Home,1,6,13,11,3,1,not out,118.18,2,0,13,0,6.5,0,Lost,No,18.2
M-2018-T20I-049,2018-02-20,2018,T20I,International Series 2018,India,Zimbabwe,"Arun Jaitley Stadium, Delhi",India,Home,1,6,10,8,1,1,not out,125,2.3,0,25,0,10.87,1,Won,No,21.8
M-2018-IPL-108,2018-02-20,2018,IPL,Indian Premier League 2018,Mumbai Indians,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",India,Away,1,6,14,11,3,0,not out,127.27,3.2,0,13,1,4.06,0,Won,No,47.6
M-2018-IPL-110,2018-02-27,2018,IPL,Indian Premier League 2018,Mumbai Indians,Sunrisers Hyderabad,"HPCA Stadium, Dharamsala",India,Home,1,6,5,4,1,1,bowled,125,3.5,0,26,1,7.43,1,Lost,No,38.8
M-2018-IPL-025,2018-04-02,2018,IPL,Indian Premier League 2018,Mumbai Indians,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chennai",India,Away,1,6,24,17,0,0,lbw,141.18,2.4,0,16,1,6.67,0,Won,No,54.7
M-2018-TEST-021,2018-04-04,2018,Test,International Series 2018,India,Zimbabwe,"HPCA Stadium, Dharamsala",India,Home,1,7,28,19,4,0,bowled,147.37,12.4,0,50,0,4.03,1,Lost,No,50.6
M-2018-IPL-089,2018-05-05,2018,IPL,Indian Premier League 2018,Mumbai Indians,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",India,Away,1,6,18,16,1,2,lbw,112.5,2.2,0,20,0,9.09,0,Won,No,19.9
M-2018-TEST-026,2018-05-13,2018,Test,International Series 2018,India,Pakistan,"MA Chidambaram Stadium, Chennai",India,Away,1,7,36,32,5,1,caught,112.5,7.5,0,54,0,7.2,0,Won,No,37.9
M-2018-T20I-118,2018-06-04,2018,T20I,International Series 2018,India,Afghanistan,"PCA Stadium, Mohali",India,Away,1,6,6,4,0,0,lbw,150,2,0,25,0,12.5,0,Won,No,13.5
M-2018-T20I-092,2018-06-12,2018,T20I,International Series 2018,India,Ireland,"Wankhede Stadium, Mumbai",India,Home,1,6,11,10,1,2,lbw,110,3.3,0,22,1,6.67,1,Won,No,45
M-2018-ODI-096,2018-07-01,2018,ODI,International Series 2018,India,New Zealand,"M Chinnaswamy Stadium, Bengaluru",India,Away,1,6,20,17,0,1,caught,117.65,6.5,1,38,0,5.85,1,Lost,No,35.6
M-2018-IPL-085,2018-07-10,2018,IPL,Indian Premier League 2018,Mumbai Indians,Kolkata Knight Riders,"Rajiv Gandhi Stadium, Hyderabad",India,Away,1,6,17,13,3,1,lbw,130.77,3.4,0,18,0,5.29,3,Lost,No,50.6
M-2018-ODI-072,2018-07-12,2018,ODI,International Series 2018,India,West Indies,"PCA Stadium, Mohali",India,Away,1,6,22,16,0,1,bowled,137.5,9.5,1,37,0,3.89,0,Won,No,37.6
M-2018-IPL-151,2018-07-18,2018,IPL,Indian Premier League 2018,Mumbai Indians,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",India,Home,1,6,18,12,0,0,lbw,150,3.2,0,17,0,5.31,0,Lost,No,30.5
M-2018-TEST-025,2018-08-01,2018,Test,International Series 2018,India,Afghanistan,"Narendra Modi Stadium, Ahmedabad",India,Home,1,7,37,25,3,0,not out,148,7.2,0,51,1,7.08,1,Won,No,74.2
M-2018-IPL-052,2018-08-04,2018,IPL,Indian Premier League 2018,Mumbai Indians,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",India,Home,1,6,27,23,2,0,not out,117.39,2.3,0,24,0,10.43,0,Won,No,29.6
M-TEST-002,2018-08-18,2018,Test,India tour of England,India,England,"Trent Bridge, Nottingham",England,Away,1,7,70,62,10,1,not out,112.9,17,2,50,6,2.94,2,Won,Yes,184.2
M-2018-TEST-028,2018-09-06,2018,Test,International Series 2018,India,Pakistan,"Wankhede Stadium, Mumbai",India,Home,1,7,34,28,4,1,bowled,121.43,14.1,0,64,2,4.54,1,Won,No,96.7
M-2018-ODI-036,2018-09-09,2018,ODI,International Series 2018,India,England,"MA Chidambaram Stadium, Chennai",India,Home,1,6,9,6,0,0,caught,150,6,1,35,0,5.83,0,Won,No,21.5
M-2018-IPL-090,2018-09-14,2018,IPL,Indian Premier League 2018,Mumbai Indians,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",India,Away,1,6,14,9,1,1,not out,155.56,2.4,0,17,0,7.08,0,Won,No,22.3
M-2018-IPL-135,2018-10-18,2018,IPL,Indian Premier League 2018,Mumbai Indians,Rajasthan Royals,"HPCA Stadium, Dharamsala",India,Home,1,6,13,10,2,1,caught,130,2.4,0,14,0,5.83,0,Lost,No,22.5
